Batch,Problem,FilePath,SolutionFound,SolutionCount,ComputationTime_ms,Restarts,TotalSteps,AvgStepsToSolution,EstimatedEnergy_microjoules,EstimatedPower_mW,EnergyPerSolution_microjoules,RunTimestamp
t_batch_2,formula_35.cnf,./problems/t_batch_2/formula_35.cnf,True,1,4.012,1,40764,40764.0,68357.2584,17038.2,68357.2584,2025-03-09T13:27:48.430689
t_batch_2,formula_36.cnf,./problems/t_batch_2/formula_36.cnf,True,1,86.046,1,999263,999263.0,5589819.204900001,64963.15,5589819.204900001,2025-03-09T13:27:48.523113
t_batch_2,formula_37.cnf,./problems/t_batch_2/formula_37.cnf,True,1,0.171,1,1797,1797.0,2580.3643500000003,15089.85,2580.3643500000003,2025-03-09T13:27:48.527722
t_batch_2,formula_38.cnf,./problems/t_batch_2/formula_38.cnf,True,1,13.745,1,157707,157707.0,314559.13574999996,22885.35,314559.13574999996,2025-03-09T13:27:48.547710
t_batch_2,formula_39.cnf,./problems/t_batch_2/formula_39.cnf,True,1,0.412,1,4379,4379.0,6270.2074,15218.95,6270.2074,2025-03-09T13:27:48.554563
t_batch_2,formula_4.cnf,./problems/t_batch_2/formula_4.cnf,True,1,1.588,1,16322,16322.0,25115.9668,15816.1,25115.9668,2025-03-09T13:27:48.561442
t_batch_2,formula_40.cnf,./problems/t_batch_2/formula_40.cnf,True,1,7.158,1,78629,78629.0,135511.31910000002,18931.45,135511.31910000002,2025-03-09T13:27:48.575349
t_batch_2,formula_41.cnf,./problems/t_batch_2/formula_41.cnf,True,1,7.65,1,85802,85802.0,147569.265,19290.1,147569.265,2025-03-09T13:27:48.589640
t_batch_2,formula_42.cnf,./problems/t_batch_2/formula_42.cnf,True,1,0.734,1,6575,6575.0,11251.3025,15328.75,11251.3025,2025-03-09T13:27:48.597258
t_batch_2,formula_43.cnf,./problems/t_batch_2/formula_43.cnf,True,1,0.32,1,3179,3179.0,4850.8640000000005,15158.95,4850.8640000000005,2025-03-09T13:27:48.604054
t_batch_2,formula_44.cnf,./problems/t_batch_2/formula_44.cnf,True,1,0.11,1,996,996.0,1655.478,15049.8,1655.478,2025-03-09T13:27:48.608173
t_batch_2,formula_45.cnf,./problems/t_batch_2/formula_45.cnf,True,1,1.902,1,18383,18383.0,30278.223299999998,15919.15,30278.223299999998,2025-03-09T13:27:48.637306
t_batch_2,formula_46.cnf,./problems/t_batch_2/formula_46.cnf,True,1,0.297,1,2983,2983.0,4499.297549999999,15149.15,4499.297549999999,2025-03-09T13:27:48.648407
t_batch_2,formula_47.cnf,./problems/t_batch_2/formula_47.cnf,True,1,0.842,1,7865,7865.0,12961.1165,15393.25,12961.1165,2025-03-09T13:27:48.655506
t_batch_2,formula_48.cnf,./problems/t_batch_2/formula_48.cnf,True,1,0.379,1,3749,3749.0,5756.04355,15187.45,5756.04355,2025-03-09T13:27:48.661759
t_batch_2,formula_49.cnf,./problems/t_batch_2/formula_49.cnf,True,1,3.788,1,42104,42104.0,64794.4976,17105.2,64794.4976,2025-03-09T13:27:48.672531
t_batch_2,formula_5.cnf,./problems/t_batch_2/formula_5.cnf,True,1,0.733,1,7823,7823.0,11281.712950000001,15391.15,11281.712950000001,2025-03-09T13:27:48.679226
t_batch_2,formula_50.cnf,./problems/t_batch_2/formula_50.cnf,True,1,8.225,1,91523,91523.0,161013.83375,19576.15,161013.83375,2025-03-09T13:27:48.694140
t_batch_2,formula_51.cnf,./problems/t_batch_2/formula_51.cnf,True,1,0.095,1,930,930.0,1429.4175,15046.5,1429.4175,2025-03-09T13:27:48.698651
t_batch_2,formula_52.cnf,./problems/t_batch_2/formula_52.cnf,True,1,31.651,1,365064,365064.0,1052497.0331999997,33253.2,1052497.0331999997,2025-03-09T13:27:48.737221
t_batch_2,formula_53.cnf,./problems/t_batch_2/formula_53.cnf,True,1,1.692,1,16608,16608.0,26785.036799999998,15830.4,26785.036799999998,2025-03-09T13:27:48.745170
t_batch_2,formula_54.cnf,./problems/t_batch_2/formula_54.cnf,True,1,0.034,1,327,327.0,510.55590000000007,15016.35,510.55590000000007,2025-03-09T13:27:48.749490
t_batch_2,formula_55.cnf,./problems/t_batch_2/formula_55.cnf,True,1,0.29,1,3290,3290.0,4397.705,15164.5,4397.705,2025-03-09T13:27:48.754514
t_batch_2,formula_56.cnf,./problems/t_batch_2/formula_56.cnf,True,1,0.885,1,10911,10911.0,13757.81175,15545.55,13757.81175,2025-03-09T13:27:48.759509
t_batch_2,formula_57.cnf,./problems/t_batch_2/formula_57.cnf,True,1,0.124,1,1119,1119.0,1866.9378000000002,15055.95,1866.9378000000002,2025-03-09T13:27:48.763953
